Qty;Component Type;Value / Description;Properties / Notes;Package;Manufacturer Part #;Mouser #;Reichelt #
2;LED Resistor;1?k Ohm;Carbon, E24, 250?mW, 5%;0207;CFR-25JT-52-1K;;1/4W 1,0K
1;Voltage Regulator;L78S05CV;Fixed +5?V, 2?A;TO-220;L78S05CV;511-L78S05CV;µA 78S05
1;Voltage Regulator;LM317T;Adjustable +3.3?V, 1.5?A;TO-220;LM317T;926-LM317T;LM 317-220 SG
1;Capacitor (Elko);220?µF / 35?V;Axial;Axial;;;RAD 220/35
1;Capacitor (Elko);47?µF / 35?V;Axial;Axial;;;RAD 47/35
1;Capacitor (Elko);10?µF / 35?V;Axial;Axial;;;RAD 10/35
1;LED 5 V Indicator;Green LED 3.3?V;3?mm;THT;;;LED 3MM GN
1;LED 3.3V Indicator;Yellow LED 3.3?V;3?mm;THT;;;LED 3MM GE
1;Diode;1N5400;50?V, 3?A, axial;DO-201AD;1N5400;583-1N5400;1N 5400
1;Adjust Resistor R1;240?Ohm;Metal film, E96, 250?mW, 1%;0207;;;
1;Adjust Resistor R2a;392?Ohm;Metal film, E96, 250?mW, 1%;0207;;;
1;Adjust Resistor R2b;1.6?Ohm;Metal film, E96, 250?mW, 1%;0207;;;
1;Output Header;+5?V;Pin Header 2×05;THT;;;
1;Output Header;+3.3?V;Pin Header 2×05;THT;;;
1;Output Header;GND;Pin Header 2×05;THT;;;
1;Terminal Block;+7–12?V Input;2-pin screw terminal;THT;;;
1;Header;+7–12?V Input;Pin Header 1×02;THT;;;
